399,1498,1121,2496,454,2444,5456,878
8693,2285,10392,10476,3991,7599,8926,996
23395,8925,26754,16877,25897,29319,40658,7089
16553,6982,17595,8327,8206,14819,19300,6933
15918,3848,13834,3897,5306,17688,16723,1371
20576,14453,36988,21361,24865,31747,36915,12768
30180,15090,35955,24258,22318,30515,76815,8054
5065,2582,3619,4053,2735,7719,10621,4502
5952,6751,6980,7275,4607,6148,24598,2695
2968,2329,2013,2572,3190,3561,11282,1589
22450,8484,10348,26315,10302,17163,58523,3981
15805,6561,14396,28941,13735,22356,31698,11549
3726,5216,2006,5417,4285,11013,26256,4806
5260,11738,10298,17868,6671,21243,28376,6330
10879,8557,5050,12264,3551,6348,8469,1987
13048,7237,9567,19192,9432,9164,20628,3945
3591,8603,6699,8300,2679,9079,12319,3859
